Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20231110:1430,0.0,0.0,0.0,25.25,0.9,0.0
20231110:1530,0.0,0.0,0.0,24.84,0.48,0.0
20231110:1630,0.0,0.0,0.0,24.33,0.21,0.0
20231110:1730,0.0,0.0,0.0,24.26,0.28,0.0
20231110:1830,0.0,0.0,0.0,24.08,0.55,0.0
20231110:1930,0.0,0.0,0.0,24.86,0.69,0.0
20231110:2030,0.0,0.0,0.0,24.47,0.55,0.0
20231110:2130,0.0,0.0,0.0,24.33,1.03,0.0
20231110:2230,0.0,0.0,0.0,24.11,0.97,0.0
20231110:2330,20.22,39.55,6.87,23.97,0.69,0.0
20231111:0030,145.21,201.85,20.98,24.66,0.69,0.0
20231111:0130,276.46,365.43,34.9,26.16,0.48,0.0
20231111:0230,493.69,665.23,48.25,27.36,0.21,0.0
20231111:0330,496.81,662.79,60.23,28.93,1.24,0.0
20231111:0430,560.91,754.29,68.38,29.52,1.79,0.0
20231111:0530,486.15,646.19,67.95,29.91,2.34,0.0
20231111:0630,562.22,738.39,59.29,28.71,2.48,0.0
20231111:0730,478.98,627.42,47.14,30.32,2.97,0.0
20231111:0830,299.85,394.73,33.72,29.67,2.9,0.0
20231111:0930,139.54,202.64,19.77,29.17,2.55,0.0
20231111:1030,10.51,25.75,5.59,28.58,1.79,0.0
20231111:1130,0.0,0.0,0.0,27.72,1.45,0.0
20231111:1230,0.0,0.0,0.0,26.93,1.59,0.0
20231111:1330,0.0,0.0,0.0,26.41,1.31,0.0
20231111:1430,0.0,0.0,0.0,25.94,1.17,0.0
20231111:1530,0.0,0.0,0.0,25.44,1.31,0.0
20231111:1630,0.0,0.0,0.0,25.09,1.03,0.0
20231111:1730,0.0,0.0,0.0,24.82,1.03,0.0
20231111:1830,0.0,0.0,0.0,24.76,1.1,0.0
20231111:1930,0.0,0.0,0.0,24.71,0.83,0.0
20231111:2030,0.0,0.0,0.0,24.77,0.62,0.0
20231111:2130,0.0,0.0,0.0,24.67,1.03,0.0
20231111:2230,0.0,0.0,0.0,24.39,1.1,0.0
20231111:2330,15.54,32.9,6.81,24.37,1.03,0.0
20231112:0030,78.94,117.67,20.9,24.96,1.24,0.0
20231112:0130,191.15,254.05,34.78,25.77,1.66,0.0
20231112:0230,320.62,418.33,48.09,26.7,1.24,0.0
20231112:0330,390.27,511.85,60.02,27.75,1.03,0.0
20231112:0430,460.76,612.34,68.11,28.43,1.31,0.0
20231112:0530,274.34,364.32,67.71,28.98,1.72,0.0
20231112:0630,543.16,716.97,59.15,27.25,1.59,0.0
20231112:0730,471.16,615.38,47.05,30.2,2.83,0.0
20231112:0830,305.38,403.38,33.68,29.85,2.48,0.0
20231112:0930,132.99,194.59,19.76,29.06,1.79,0.0
20231112:1030,8.19,22.0,5.6,28.23,0.48,0.0
20231112:1130,0.0,0.0,0.0,27.59,0.97,0.0
20231112:1230,0.0,0.0,0.0,26.88,1.03,0.0
20231112:1330,0.0,0.0,0.0,26.39,0.83,0.0
20231112:1430,0.0,0.0,0.0,25.71,1.1,0.0
20231112:1530,0.0,0.0,0.0,25.19,1.24,0.0
20231112:1630,0.0,0.0,0.0,24.62,1.31,0.0
20231112:1730,0.0,0.0,0.0,24.25,1.24,0.0
20231112:1830,0.0,0.0,0.0,24.08,1.1,0.0
20231112:1930,0.0,0.0,0.0,24.04,0.83,0.0
20231112:2030,0.0,0.0,0.0,23.91,0.97,0.0
20231112:2130,0.0,0.0,0.0,23.79,1.03,0.0
20231112:2230,0.0,0.0,0.0,23.74,1.38,0.0
20231112:2330,19.9,39.0,6.75,23.43,1.31,0.0
20231113:0030,176.39,243.81,20.81,24.14,0.97,0.0
20231113:0130,320.31,422.57,34.67,26.3,0.55,0.0
20231113:0230,485.18,650.95,47.94,27.97,0.28,0.0
20231113:0330,578.11,785.16,59.81,29.25,0.9,0.0
20231113:0430,529.37,716.16,67.84,30.05,0.83,0.0
20231113:0530,563.83,765.58,67.48,30.39,1.1,0.0
20231113:0630,511.69,679.16,59.0,29.86,1.79,0.0
20231113:0730,310.69,407.78,46.97,29.15,1.72,0.0
20231113:0830,285.65,380.37,33.64,29.3,1.03,0.0
20231113:0930,89.57,135.99,19.75,29.23,0.55,0.0
20231113:1030,3.11,13.0,5.61,27.33,0.14,0.0
20231113:1130,0.0,0.0,0.0,26.13,0.21,0.0
20231113:1230,0.0,0.0,0.0,25.59,0.48,0.0
20231113:1330,0.0,0.0,0.0,25.42,1.03,0.0
20231113:1430,0.0,0.0,0.0,24.88,1.59,0.0
20231113:1530,0.0,0.0,0.0,24.68,1.31,0.0
20231113:1630,0.0,0.0,0.0,24.39,0.62,0.0
20231113:1730,0.0,0.0,0.0,24.15,0.97,0.0
20231113:1830,0.0,0.0,0.0,23.87,1.38,0.0
20231113:1930,0.0,0.0,0.0,24.17,1.03,0.0
20231113:2030,0.0,0.0,0.0,24.01,1.03,0.0
20231113:2130,0.0,0.0,0.0,23.74,0.69,0.0
20231113:2230,0.0,0.0,0.0,23.46,0.83,0.0
20231113:2330,16.74,34.5,6.68,23.22,1.03,0.0
20231114:0030,158.64,222.91,20.72,24.71,1.03,0.0
20231114:0130,398.42,521.86,34.55,26.19,1.24,0.0
20231114:0230,533.0,709.48,47.78,28.04,1.17,0.0
20231114:0330,586.51,812.57,59.6,29.31,0.14,0.0
20231114:0430,564.69,768.59,67.58,30.27,0.9,0.0
20231114:0530,446.27,590.66,67.24,29.98,1.66,0.0
20231114:0630,412.4,538.06,58.86,28.26,1.93,0.0
20231114:0730,324.15,423.93,46.9,28.37,2.0,0.0
20231114:0830,284.32,376.75,33.6,28.35,1.45,0.0
20231114:0930,122.28,177.4,19.75,28.61,1.31,0.0
20231114:1030,13.74,30.7,5.63,28.22,1.24,0.0
20231114:1130,0.0,0.0,0.0,27.49,1.1,0.0
20231114:1230,0.0,0.0,0.0,26.72,0.9,0.0
20231114:1330,0.0,0.0,0.0,26.49,0.41,0.0
20231114:1430,0.0,0.0,0.0,25.99,0.62,0.0
20231114:1530,0.0,0.0,0.0,25.44,0.97,0.0
20231114:1630,0.0,0.0,0.0,24.96,0.97,0.0
20231114:1730,0.0,0.0,0.0,24.67,0.83,0.0
20231114:1830,0.0,0.0,0.0,23.98,0.83,0.0
20231114:1930,0.0,0.0,0.0,24.09,0.9,0.0
20231114:2030,0.0,0.0,0.0,24.22,0.83,0.0
20231114:2130,0.0,0.0,0.0,24.31,0.69,0.0
20231114:2230,0.0,0.0,0.0,24.21,0.48,0.0
20231114:2330,5.46,17.1,6.61,23.78,0.69,0.0
20231115:0030,151.27,214.11,20.63,24.69,0.55,0.0
20231115:0130,304.88,398.29,34.43,26.25,1.31,0.0
20231115:0230,433.69,564.97,47.63,27.32,1.52,0.0
20231115:0330,487.87,642.67,59.39,28.35,1.38,0.0
20231115:0430,564.21,752.43,67.32,29.09,1.79,0.0
20231115:0530,466.38,614.83,67.02,29.57,1.86,0.0
20231115:0630,508.07,672.65,58.72,28.64,1.72,0.0
20231115:0730,353.07,462.45,46.82,29.31,2.21,0.0
20231115:0830,181.96,247.79,33.57,28.77,0.76,0.0
20231115:0930,86.59,128.31,19.74,27.9,0.83,0.0
20231115:1030,8.89,23.1,5.65,27.64,0.83,0.0
20231115:1130,0.0,0.0,0.0,26.79,0.55,0.0
20231115:1230,0.0,0.0,0.0,26.24,0.55,0.0
20231115:1330,0.0,0.0,0.0,25.91,0.83,0.0
20231115:1430,0.0,0.0,0.0,25.42,1.17,0.0
20231115:1530,0.0,0.0,0.0,25.15,1.24,0.0
20231115:1630,0.0,0.0,0.0,24.97,0.9,0.0
20231115:1730,0.0,0.0,0.0,24.68,0.62,0.0
20231115:1830,0.0,0.0,0.0,24.44,0.69,0.0
20231115:1930,0.0,0.0,0.0,24.15,0.97,0.0
20231115:2030,0.0,0.0,0.0,23.94,1.17,0.0
20231115:2130,0.0,0.0,0.0,23.72,1.31,0.0
20231115:2230,0.0,0.0,0.0,23.6,1.17,0.0
20231115:2330,20.58,39.95,6.54,23.32,1.1,0.0
20231116:0030,158.03,219.83,20.53,24.5,0.83,0.0
20231116:0130,330.62,436.59,34.31,26.61,0.62,0.0
20231116:0230,388.62,519.7,47.47,28.27,0.34,0.0
20231116:0330,483.22,655.63,59.18,29.06,0.41,0.0
20231116:0430,472.78,642.97,67.06,29.84,0.34,0.0
20231116:0530,568.97,783.03,66.8,30.2,0.55,0.0
20231116:0630,443.25,599.35,58.59,30.64,0.76,0.0
20231116:0730,404.32,540.83,46.76,30.74,1.03,0.0
20231116:0830,195.77,266.94,33.54,30.13,0.83,0.0
20231116:0930,141.1,203.43,19.75,28.25,0.55,0.0
20231116:1030,10.77,26.15,5.67,28.24,0.28,0.0
20231116:1130,0.0,0.0,0.0,27.64,0.48,0.0
20231116:1230,0.0,0.0,0.0,26.75,0.83,0.0
20231116:1330,0.0,0.0,0.0,25.97,1.17,0.0
20231116:1430,0.0,0.0,0.0,25.63,1.31,0.0
20231116:1530,0.0,0.0,0.0,25.39,1.1,0.0
20231116:1630,0.0,0.0,0.0,25.15,1.17,0.0
20231116:1730,0.0,0.0,0.0,24.92,1.1,0.0
20231116:1830,0.0,0.0,0.0,24.67,1.17,0.0
20231116:1930,0.0,0.0,0.0,24.39,0.34,0.0
20231116:2030,0.0,0.0,0.0,24.27,0.9,0.0
20231116:2130,0.0,0.0,0.0,24.18,1.03,0.0
20231116:2230,0.0,0.0,0.0,24.1,1.1,0.0
20231116:2330,13.39,29.7,6.47,24.06,1.1,0.0
20231117:0030,121.42,171.9,20.43,24.46,1.45,0.0
20231117:0130,188.87,251.25,34.18,25.51,1.59,0.0
20231117:0230,278.18,364.21,47.31,26.89,1.24,0.0
20231117:0330,402.1,530.05,58.98,28.05,0.97,0.0
20231117:0430,440.96,587.96,66.81,29.17,0.9,0.0
20231117:0530,423.89,568.46,66.58,29.92,0.55,0.0
20231117:0630,510.36,697.43,58.46,30.2,0.21,0.0
20231117:0730,470.32,626.38,46.69,29.82,1.38,0.0
20231117:0830,273.47,365.17,33.52,29.48,0.97,0.0
20231117:0930,80.04,124.45,19.75,29.58,0.41,0.0
20231117:1030,7.09,20.15,5.7,27.9,1.03,0.0
20231117:1130,0.0,0.0,0.0,26.76,0.55,0.0
20231117:1230,0.0,0.0,0.0,26.05,0.41,0.0
20231117:1330,0.0,0.0,0.0,25.25,0.62,0.0
20231117:1430,0.0,0.0,0.0,24.85,0.62,0.0
20231117:1530,0.0,0.0,0.0,24.7,0.83,0.0
20231117:1630,0.0,0.0,0.0,24.51,1.17,0.0
20231117:1730,0.0,0.0,0.0,24.4,1.24,0.0
20231117:1830,0.0,0.0,0.0,24.2,1.38,0.0
20231117:1930,0.0,0.0,0.0,23.93,1.03,0.0
20231117:2030,0.0,0.0,0.0,23.79,1.24,0.0
20231117:2130,0.0,0.0,0.0,23.72,1.17,0.0
20231117:2230,0.0,0.0,0.0,23.62,1.38,0.0
20231117:2330,12.26,27.95,6.4,23.55,1.45,0.0
20231118:0030,148.08,206.33,20.34,24.05,1.72,0.0
20231118:0130,339.61,443.25,34.06,25.69,1.38,0.0
20231118:0230,467.56,615.02,47.15,27.9,1.66,0.0
20231118:0330,521.07,689.23,58.77,29.33,2.07,0.0
20231118:0430,565.2,760.41,66.57,30.19,2.0,0.0
20231118:0530,512.86,687.09,66.37,30.76,1.86,0.0
20231118:0630,546.57,735.64,58.34,31.02,1.72,0.0
20231118:0730,305.21,408.27,46.63,31.23,1.1,0.0
20231118:0830,174.19,236.53,33.5,28.79,2.28,0.0
20231118:0930,105.49,153.53,19.76,27.95,1.1,0.0
20231118:1030,17.88,36.75,5.73,27.67,0.9,0.0
20231118:1130,0.0,0.0,0.0,27.23,0.41,0.0
20231118:1230,0.0,0.0,0.0,26.63,0.34,0.0
20231118:1330,0.0,0.0,0.0,26.16,0.55,0.0
20231118:1430,0.0,0.0,0.0,25.82,0.55,0.0
20231118:1530,0.0,0.0,0.0,25.18,1.24,0.0
20231118:1630,0.0,0.0,0.0,24.92,0.9,0.0
20231118:1730,0.0,0.0,0.0,24.57,0.97,0.0
20231118:1830,0.0,0.0,0.0,24.31,1.1,0.0
20231118:1930,0.0,0.0,0.0,24.45,1.03,0.0
20231118:2030,0.0,0.0,0.0,24.37,0.97,0.0
20231118:2130,0.0,0.0,0.0,24.28,0.97,0.0
20231118:2230,0.0,0.0,0.0,24.21,0.97,0.0
20231118:2330,12.72,28.7,6.32,24.04,0.97,0.0
20231119:0030,84.24,123.21,20.23,24.74,0.55,0.0
20231119:0130,150.38,206.16,33.93,26.14,0.55,0.0
20231119:0230,251.57,334.82,46.99,27.02,0.9,0.0
20231119:0330,301.88,400.42,58.57,28.05,1.45,0.0
20231119:0430,427.93,567.76,66.32,28.72,1.86,0.0
20231119:0530,320.66,425.93,66.17,29.46,1.93,0.0
20231119:0630,286.75,381.33,58.22,29.58,1.72,0.0
20231119:0730,274.25,368.08,46.57,29.53,0.97,0.0
20231119:0830,195.46,265.72,33.48,29.57,1.45,0.0
20231119:0930,78.24,118.21,19.77,29.5,1.1,0.0
20231119:1030,8.93,23.25,5.77,28.75,0.41,0.0
20231119:1130,0.0,0.0,0.0,27.8,0.76,0.0
20231119:1230,0.0,0.0,0.0,26.83,0.97,0.0
20231119:1330,0.0,0.0,0.0,26.31,0.62,0.0
20231119:1430,0.0,0.0,0.0,25.87,0.55,0.0
20231119:1530,0.0,0.0,0.0,25.4,0.69,0.0
20231119:1630,0.0,0.0,0.0,25.0,0.97,0.0
20231119:1730,0.0,0.0,0.0,24.88,0.83,0.0
20231119:1830,0.0,0.0,0.0,24.61,0.97,0.0
20231119:1930,0.0,0.0,0.0,24.69,0.62,0.0
20231119:2030,0.0,0.0,0.0,24.42,1.1,0.0
20231119:2130,0.0,0.0,0.0,24.19,1.24,0.0
20231119:2230,0.0,0.0,0.0,24.02,1.17,0.0
20231119:2330,17.2,35.25,6.24,23.94,1.03,0.0
20231120:0030,142.96,202.19,20.13,25.02,0.69,0.0
20231120:0130,279.66,370.61,33.8,26.57,0.41,0.0
20231120:0230,476.8,638.76,46.83,27.59,0.21,0.0
20231120:0330,562.29,761.67,58.36,28.71,0.69,0.0
20231120:0430,471.53,627.45,66.08,30.02,1.17,0.0
20231120:0530,435.4,576.65,65.97,29.12,1.52,0.0
20231120:0630,470.41,621.25,58.11,28.69,1.38,0.0
20231120:0730,275.5,366.32,46.52,30.18,1.31,0.0
20231120:0830,201.39,271.0,33.47,28.36,1.38,0.0
20231120:0930,113.12,164.29,19.78,28.33,1.31,0.0
20231120:1030,12.9,29.45,5.8,28.4,0.97,0.0
20231120:1130,0.0,0.0,0.0,27.89,0.55,0.0
20231120:1230,0.0,0.0,0.0,27.12,0.41,0.0
20231120:1330,0.0,0.0,0.0,26.63,0.55,0.0
20231120:1430,0.0,0.0,0.0,26.09,0.55,0.0
20231120:1530,0.0,0.0,0.0,25.57,0.48,0.0
20231120:1630,0.0,0.0,0.0,25.06,0.34,0.0
20231120:1730,0.0,0.0,0.0,24.54,0.69,0.0
20231120:1830,0.0,0.0,0.0,24.36,0.83,0.0
20231120:1930,0.0,0.0,0.0,24.4,0.9,0.0
20231120:2030,0.0,0.0,0.0,24.18,0.76,0.0
20231120:2130,0.0,0.0,0.0,23.91,1.1,0.0
20231120:2230,0.0,0.0,0.0,23.99,1.24,0.0
20231120:2330,13.95,30.5,6.16,23.82,1.03,0.0
20231121:0030,112.58,161.25,20.03,24.51,0.69,0.0
20231121:0130,290.03,382.87,33.68,25.97,0.41,0.0
20231121:0230,303.55,398.39,46.67,27.4,0.76,0.0
20231121:0330,398.7,520.57,58.16,28.07,1.52,0.0
20231121:0430,430.28,560.13,65.85,28.56,2.07,0.0
20231121:0530,522.77,685.21,65.78,28.02,2.34,0.0
20231121:0630,302.52,396.29,58.0,28.61,2.76,0.0
20231121:0730,231.76,309.87,46.47,28.39,1.31,0.0
20231121:0830,139.21,193.02,33.46,28.13,1.24,0.0
20231121:0930,49.74,80.15,19.8,27.33,1.17,0.0
20231121:1030,4.58,15.7,5.85,26.5,0.83,0.0
20231121:1130,0.0,0.0,0.0,25.92,0.34,0.0
20231121:1230,0.0,0.0,0.0,25.53,0.48,0.0
20231121:1330,0.0,0.0,0.0,25.24,0.34,0.0
20231121:1430,0.0,0.0,0.0,25.08,0.34,0.0
20231121:1530,0.0,0.0,0.0,24.72,0.62,0.0
20231121:1630,0.0,0.0,0.0,24.46,0.55,0.0
20231121:1730,0.0,0.0,0.0,24.41,0.28,0.0
20231121:1830,0.0,0.0,0.0,24.39,0.07,0.0
20231121:1930,0.0,0.0,0.0,24.45,0.28,0.0
20231121:2030,0.0,0.0,0.0,24.32,0.28,0.0
20231121:2130,0.0,0.0,0.0,24.23,0.34,0.0
20231121:2230,0.0,0.0,0.0,24.28,0.83,0.0
20231121:2330,7.22,20.1,6.08,24.19,0.83,0.0
20231122:0030,34.9,59.7,19.92,24.37,0.9,0.0
20231122:0130,129.95,178.92,33.55,24.77,0.69,0.0
20231122:0230,103.89,147.6,46.51,25.94,0.41,0.0
20231122:0330,235.92,312.44,57.96,26.19,0.14,0.0
20231122:0430,260.1,345.43,65.62,27.1,0.41,0.0
20231122:0530,165.9,226.26,65.59,27.62,0.41,0.0
20231122:0630,154.62,212.21,57.89,27.32,0.62,0.0
20231122:0730,220.75,293.2,46.42,27.73,0.97,0.0
20231122:0830,136.98,189.97,33.45,27.94,1.31,0.0
20231122:0930,59.5,94.88,19.82,27.73,1.38,0.0
20231122:1030,6.17,18.55,5.89,27.37,1.03,0.0
20231122:1130,0.0,0.0,0.0,26.86,0.83,0.0
20231122:1230,0.0,0.0,0.0,26.39,0.41,0.0
20231122:1330,0.0,0.0,0.0,25.92,0.9,0.0
20231122:1430,0.0,0.0,0.0,25.56,0.69,0.0
20231122:1530,0.0,0.0,0.0,25.4,0.48,0.0
20231122:1630,0.0,0.0,0.0,25.03,0.62,0.0
20231122:1730,0.0,0.0,0.0,24.74,0.76,0.0
20231122:1830,0.0,0.0,0.0,24.63,0.41,0.0
20231122:1930,0.0,0.0,0.0,24.28,1.24,0.0
20231122:2030,0.0,0.0,0.0,24.14,1.17,0.0
20231122:2130,0.0,0.0,0.0,24.07,0.97,0.0
20231122:2230,0.0,0.0,0.0,24.0,0.55,0.0
20231122:2330,4.94,16.2,5.99,23.89,0.83,0.0
20231123:0030,49.68,78.85,19.81,24.17,1.24,0.0
20231123:0130,172.57,231.43,33.42,24.96,1.17,0.0
20231123:0230,236.01,310.85,46.35,26.34,1.03,0.0
20231123:0330,185.38,250.46,57.77,27.35,0.62,0.0
20231123:0430,171.48,233.41,65.4,27.69,0.83,0.0
20231123:0530,353.78,465.55,65.41,27.04,1.1,0.0
20231123:0630,458.63,610.0,57.79,27.79,1.17,0.0
20231123:0730,340.8,451.04,46.38,29.76,1.59,0.0
20231123:0830,252.65,337.03,33.45,29.22,1.79,0.0
20231123:0930,88.28,131.52,19.85,28.61,1.17,0.0
20231123:1030,9.34,23.8,5.93,27.41,1.03,0.0
20231123:1130,0.0,0.0,0.0,25.91,0.34,0.0
20231123:1230,0.0,0.0,0.0,24.62,0.9,0.0
20231123:1330,0.0,0.0,0.0,24.28,0.83,0.0
20231123:1430,0.0,0.0,0.0,24.13,1.45,0.0
20231123:1530,0.0,0.0,0.0,24.07,1.59,0.0
20231123:1630,0.0,0.0,0.0,23.91,1.45,0.0
20231123:1730,0.0,0.0,0.0,23.72,1.17,0.0
20231123:1830,0.0,0.0,0.0,23.51,1.1,0.0
20231123:1930,0.0,0.0,0.0,23.62,0.76,0.0
20231123:2030,0.0,0.0,0.0,23.56,0.55,0.0
20231123:2130,0.0,0.0,0.0,23.44,0.83,0.0
20231123:2230,0.0,0.0,0.0,23.33,1.1,0.0
20231123:2330,6.53,18.9,5.9,23.29,1.17,0.0
20231124:0030,87.67,126.81,19.71,23.55,1.24,0.0
20231124:0130,229.15,302.62,33.28,24.83,0.69,0.0
20231124:0230,260.89,345.8,46.19,26.49,0.28,0.0
20231124:0330,320.45,424.71,57.57,27.37,0.34,0.0
20231124:0430,266.24,354.09,65.18,28.15,0.48,0.0
20231124:0530,299.6,399.43,65.24,28.5,0.76,0.0
20231124:0630,267.38,354.94,57.7,28.65,1.1,0.0
20231124:0730,245.13,324.25,46.35,28.18,1.66,0.0
20231124:0830,175.41,237.99,33.45,28.29,1.59,0.0
20231124:0930,110.77,161.19,19.87,28.18,1.1,0.0
20231124:1030,18.42,37.6,5.98,28.09,0.55,0.0
20231124:1130,0.0,0.0,0.0,26.85,0.48,0.0
20231124:1230,0.0,0.0,0.0,26.05,1.1,0.0
20231124:1330,0.0,0.0,0.0,25.6,0.55,0.0
20231124:1430,0.0,0.0,0.0,25.15,0.55,0.0
20231124:1530,0.0,0.0,0.0,24.79,0.97,0.0
20231124:1630,0.0,0.0,0.0,24.46,0.83,0.0
20231124:1730,0.0,0.0,0.0,24.09,0.62,0.0
20231124:1830,0.0,0.0,0.0,23.95,0.76,0.0
20231124:1930,0.0,0.0,0.0,24.14,1.03,0.0
20231124:2030,0.0,0.0,0.0,23.8,1.1,0.0
20231124:2130,0.0,0.0,0.0,23.71,1.03,0.0
20231124:2230,0.0,0.0,0.0,23.69,0.97,0.0
20231124:2330,18.27,36.7,5.81,23.41,1.03,0.0
20231125:0030,146.45,205.13,19.59,24.18,0.69,0.0
20231125:0130,246.18,327.44,33.15,26.02,0.14,0.0
20231125:0230,375.58,495.28,46.03,27.06,0.55,0.0
20231125:0330,345.48,458.76,57.38,28.02,0.62,0.0
20231125:0430,499.28,671.22,64.97,28.42,0.97,0.0
20231125:0530,436.98,578.84,65.07,29.17,1.79,0.0
20231125:0630,330.01,433.89,57.61,28.3,2.34,0.0
20231125:0730,217.22,290.53,46.31,28.58,1.52,0.0
20231125:0830,131.49,183.26,33.45,27.72,1.24,0.0
20231125:0930,20.91,40.95,19.9,26.75,1.31,0.0
20231125:1030,1.61,9.85,6.04,25.7,0.9,0.0
20231125:1130,0.0,0.0,0.0,25.37,0.41,0.0
20231125:1230,0.0,0.0,0.0,25.11,0.14,0.0
20231125:1330,0.0,0.0,0.0,24.78,0.55,0.0
20231125:1430,0.0,0.0,0.0,24.58,0.69,0.0
20231125:1530,0.0,0.0,0.0,24.3,0.41,0.0
20231125:1630,0.0,0.0,0.0,24.37,0.07,0.0
20231125:1730,0.0,0.0,0.0,24.19,0.41,0.0
20231125:1830,0.0,0.0,0.0,24.19,0.62,0.0
20231125:1930,0.0,0.0,0.0,24.42,0.76,0.0
20231125:2030,0.0,0.0,0.0,24.16,0.9,0.0
20231125:2130,0.0,0.0,0.0,23.79,1.1,0.0
20231125:2230,0.0,0.0,0.0,23.68,1.1,0.0
20231125:2330,14.14,30.75,5.72,23.52,1.03,0.0
20231126:0030,101.25,145.28,19.48,24.28,0.83,0.0
20231126:0130,210.18,279.36,33.02,25.5,0.9,0.0
20231126:0230,452.98,594.0,45.88,26.6,1.03,0.0
20231126:0330,485.32,640.57,57.19,28.08,1.45,0.0
20231126:0430,423.58,556.26,64.76,28.68,1.86,0.0
20231126:0530,383.69,500.24,64.9,28.28,2.28,0.0
20231126:0630,459.48,593.04,57.52,27.14,2.83,0.0
20231126:0730,332.44,429.96,46.28,27.94,2.62,0.0
20231126:0830,313.63,413.01,33.46,27.88,1.45,0.0
20231126:0930,183.87,262.46,19.94,28.22,1.31,0.0
20231126:1030,11.92,27.9,6.09,28.07,1.31,0.0
20231126:1130,0.0,0.0,0.0,26.71,1.03,0.0
20231126:1230,0.0,0.0,0.0,25.96,1.31,0.0
20231126:1330,0.0,0.0,0.0,25.43,1.1,0.0
20231126:1430,0.0,0.0,0.0,25.01,0.9,0.0
20231126:1530,0.0,0.0,0.0,24.62,0.41,0.0
20231126:1630,0.0,0.0,0.0,24.13,0.69,0.0
20231126:1730,0.0,0.0,0.0,23.88,0.83,0.0
20231126:1830,0.0,0.0,0.0,23.68,0.83,0.0
20231126:1930,0.0,0.0,0.0,24.22,0.69,0.0
20231126:2030,0.0,0.0,0.0,24.07,0.62,0.0
20231126:2130,0.0,0.0,0.0,23.94,0.83,0.0
20231126:2230,0.0,0.0,0.0,23.85,1.1,0.0
20231126:2330,1.27,9.05,5.63,23.76,1.1,0.0
20231127:0030,35.79,60.7,19.37,23.94,0.9,0.0
20231127:0130,118.65,165.21,32.89,24.82,0.76,0.0
20231127:0230,236.13,311.69,45.72,26.05,0.97,0.0
20231127:0330,289.08,382.38,57.01,27.13,1.03,0.0
20231127:0430,285.82,381.22,64.56,27.8,0.76,0.0
20231127:0530,380.1,509.04,64.75,28.21,0.62,0.0
20231127:0630,452.86,602.21,57.44,28.74,0.76,0.0
20231127:0730,292.79,384.84,46.26,29.14,1.79,0.0
20231127:0830,130.02,181.37,33.47,28.1,1.45,0.0
20231127:0930,46.18,75.75,19.98,27.62,0.21,0.0
20231127:1030,6.86,19.7,6.15,26.95,0.55,0.0
20231127:1130,0.0,0.0,0.0,26.23,0.41,0.0
20231127:1230,0.0,0.0,0.0,25.51,0.83,0.0
20231127:1330,0.0,0.0,0.0,24.97,0.83,0.0
20231127:1430,0.0,0.0,0.0,24.58,0.76,0.0
20231127:1530,0.0,0.0,0.0,24.36,0.83,0.0
20231127:1630,0.0,0.0,0.0,24.11,0.97,0.0
20231127:1730,0.0,0.0,0.0,24.0,1.03,0.0
20231127:1830,0.0,0.0,0.0,23.75,0.83,0.0
20231127:1930,0.0,0.0,0.0,23.91,0.83,0.0
20231127:2030,0.0,0.0,0.0,23.81,0.97,0.0
20231127:2130,0.0,0.0,0.0,23.76,0.97,0.0
20231127:2230,0.0,0.0,0.0,23.67,1.1,0.0
20231127:2330,10.69,25.55,5.53,23.44,1.24,0.0
20231128:0030,75.05,112.63,19.26,23.77,1.17,0.0
20231128:0130,194.02,258.65,32.75,24.88,0.76,0.0
20231128:0230,279.38,368.35,45.56,26.57,0.9,0.0
20231128:0330,347.69,460.0,56.82,27.58,0.97,0.0
20231128:0430,429.92,571.95,64.36,28.3,0.9,0.0
20231128:0530,472.87,641.77,64.6,28.89,0.28,0.0
20231128:0630,362.38,489.5,57.37,29.7,0.34,0.0
20231128:0730,307.83,409.77,46.24,30.27,1.52,0.0
20231128:0830,225.21,303.16,33.49,29.97,1.79,0.0
20231128:0930,111.34,161.58,20.02,29.37,1.38,0.0
20231128:1030,14.21,31.4,6.21,28.1,0.55,0.0
20231128:1130,0.0,0.0,0.0,27.3,0.62,0.0
20231128:1230,0.0,0.0,0.0,26.58,1.17,0.0
20231128:1330,0.0,0.0,0.0,25.89,1.31,0.0
20231128:1430,0.0,0.0,0.0,25.24,1.31,0.0
20231128:1530,0.0,0.0,0.0,24.69,1.24,0.0
20231128:1630,0.0,0.0,0.0,24.16,1.17,0.0
20231128:1730,0.0,0.0,0.0,23.91,1.17,0.0
20231128:1830,0.0,0.0,0.0,23.63,1.03,0.0
20231128:1930,0.0,0.0,0.0,23.66,1.24,0.0
20231128:2030,0.0,0.0,0.0,23.5,1.45,0.0
20231128:2130,0.0,0.0,0.0,23.31,1.59,0.0
20231128:2230,0.0,0.0,0.0,23.12,1.38,0.0
20231128:2330,7.62,20.65,5.44,22.86,1.52,0.0
